TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
POR,POR vs. MIL,02/06/2023,L,240,108,37,91,40.7,9,36,25.0,25,29,86.2,1,27,28,23,5,2,9,20,-19
LAC,LAC @ BKN,02/06/2023,W,240,124,44,92,47.8,12,30,40.0,24,30,80.0,11,35,46,20,11,5,9,19,8
IND,IND vs. CLE,02/05/2023,L,240,103,40,92,43.5,8,32,25.0,15,22,68.2,12,30,42,28,3,6,13,20,-19
CLE,CLE @ IND,02/05/2023,W,240,122,46,88,52.3,15,37,40.5,15,16,93.8,8,38,46,33,7,5,13,20,19
NOP,NOP vs. SAC,02/05/2023,W,240,136,48,85,56.5,14,26,53.8,26,34,76.5,12,36,48,26,11,3,11,23,32
SAC,SAC @ NOP,02/05/2023,L,240,104,35,82,42.7,11,42,26.2,23,27,85.2,11,27,38,23,5,5,15,22,-32
CHA,CHA vs. ORL,02/05/2023,L,240,113,45,83,54.2,12,33,36.4,11,23,47.8,8,31,39,28,8,6,15,23,-6
ORL,ORL @ CHA,02/05/2023,W,240,119,42,91,46.2,8,23,34.8,27,30,90.0,18,34,52,25,6,2,12,18,6
MIN,MIN vs. DEN,02/05/2023,W,240,128,48,87,55.2,10,27,37.0,22,30,73.3,5,29,34,33,7,3,11,23,30
DEN,DEN @ MIN,02/05/2023,L,240,98,34,71,47.9,6,25,24.0,24,31,77.4,3,34,37,19,6,5,22,23,-30
PHI,PHI @ NYK,02/05/2023,L,240,97,30,74,40.5,7,25,28.0,30,36,83.3,8,36,44,23,4,4,12,23,-11
NYK,NYK vs. PHI,02/05/2023,W,240,108,34,79,43.0,12,36,33.3,28,39,71.8,14,35,49,21,5,1,12,28,11
TOR,TOR @ MEM,02/05/2023,W,240,106,44,101,43.6,11,36,30.6,7,12,58.3,11,31,42,24,11,3,11,16,3
MEM,MEM vs. TOR,02/05/2023,L,240,103,38,78,48.7,10,27,37.0,17,23,73.9,8,36,44,25,10,9,20,16,-3
DAL,DAL @ GSW,02/04/2023,L,240,113,39,85,45.9,14,40,35.0,21,27,77.8,10,29,39,22,9,1,14,18,-6
PHX,PHX @ DET,02/04/2023,W,240,116,42,75,56.0,11,23,47.8,21,31,67.7,10,36,46,34,10,2,17,23,16
DET,DET vs. PHX,02/04/2023,L,240,100,35,81,43.2,16,42,38.1,14,22,63.6,9,21,30,23,8,2,16,27,-16
GSW,GSW vs. DAL,02/04/2023,W,240,119,45,82,54.9,14,35,40.0,15,19,78.9,5,33,38,33,6,5,14,24,6
LAL,LAL @ NOP,02/04/2023,L,240,126,45,94,47.9,11,32,34.4,25,33,75.8,13,31,44,30,4,3,9,20,-5
CHI,CHI vs. POR,02/04/2023,W,240,129,48,80,60.0,12,26,46.2,21,25,84.0,6,35,41,32,6,3,12,19,8
POR,POR @ CHI,02/04/2023,L,240,121,44,87,50.6,14,43,32.6,19,21,90.5,7,26,33,22,3,3,9,19,-8
WAS,WAS @ BKN,02/04/2023,L,240,123,39,81,48.1,13,28,46.4,32,41,78.0,6,33,39,22,10,3,16,21,-2
BKN,BKN vs. WAS,02/04/2023,W,240,125,43,86,50.0,14,33,42.4,25,28,89.3,10,29,39,21,4,10,15,28,2
MIL,MIL vs. MIA,02/04/2023,W,240,123,46,88,52.3,14,40,35.0,17,28,60.7,10,41,51,23,6,4,12,14,8
MIA,MIA @ MIL,02/04/2023,L,240,115,45,101,44.6,8,31,25.8,17,21,81.0,13,31,44,23,9,2,7,23,-8
NOP,NOP vs. LAL,02/04/2023,W,240,131,52,100,52.0,9,30,30.0,18,20,90.0,14,34,48,28,6,0,11,22,5
ATL,ATL @ DEN,02/04/2023,L,240,108,44,91,48.4,6,20,30.0,14,17,82.4,10,33,43,26,7,7,16,18,-20
DEN,DEN vs. ATL,02/04/2023,W,240,128,48,95,50.5,15,38,39.5,17,20,85.0,12,36,48,32,14,6,13,15,20
